,dangerLevel,elevation_th,HN72_24,HN24_7d,Pen_depth,HN24,min_ccl_pen,RH,wind_trans24_3d,wind_trans24,wind_trans24_7d,warnreg
128193,1.0,1000.0,1.2415,4.39,7.963550765973205,0.0,1.77,92.575,0.0,0.0,0.0,16.0
128195,1.0,1000.0,0.0,0.0,7.800904907711482,0.0,3.0,81.6,0.0,0.0,0.0,16.0
128196,1.0,1000.0,2.3277500000000004,2.33,7.840468716303394,0.27275,2.15,72.1625,0.0,0.0,0.0,16.0
128198,1.0,1000.0,0.0,3.04,7.9668713217859,0.0,2.59,74.78750000000002,0.0,0.0,0.0,16.0
128201,1.0,1000.0,0.0,0.0,8.017339809262099,0.0,3.0,57.4875,0.0,0.0,0.0,16.0
128203,1.0,1000.0,0.0,0.0,11.308336156823088,0.0,0.66,68.2625,0.0,0.0,0.0,16.0
128204,1.0,1000.0,0.0,0.0,8.2957842813007,0.0,2.54,59.3875,0.0,0.0,0.0,16.0
128205,1.0,1000.0,2.330625,3.88,7.1138570523104345,1.4113749999999998,2.79,79.61250000000003,0.0,0.0,0.0,16.0
128206,1.0,1000.0,0.0,0.0,7.91670852733989,0.0,2.35,71.7,0.0,0.0,0.0,16.0
128209,1.0,1000.0,0.0,0.0,6.718659674133844,0.0,3.0,75.2375,0.0,0.0,0.0,16.0
128211,1.0,1000.0,0.0,0.0,7.867756076249408,0.0,2.14,69.8875,0.0,0.0,0.0,16.0
128218,1.0,1000.0,3.142375,3.14,8.834717485074735,3.142375,1.55,61.12499999999999,0.75,0.753,0.75,16.0
128224,1.0,1000.0,0.0,0.62,7.329723666226822,0.0,3.0,70.36250000000001,0.0,0.0,0.0,16.0
128225,1.0,1000.0,2.9560000000000004,2.96,7.854466400102487,0.0,2.86,72.2375,0.0,0.0,0.0,16.0
128229,1.0,1000.0,0.0,2.47,9.312917254131753,0.0,1.77,67.6625,0.0,0.0,0.0,16.0
128233,1.0,1000.0,0.0,0.0,8.152952147072451,0.0,2.32,79.4375,0.0,0.0,0.0,16.0
128240,1.0,1000.0,2.1678750000000004,2.17,8.678506062495206,2.1678750000000004,1.22,79.425,0.0,0.0,0.0,16.0
128244,1.0,1000.0,2.330625,2.33,7.109578826222461,0.0,2.79,86.1125,0.0,0.0,0.0,16.0
128245,1.0,1000.0,0.0,0.0,7.831159381420697,0.0,2.86,76.125,0.0,0.0,0.0,16.0
128246,1.0,1000.0,3.3115,3.31,7.838276754267294,3.3115,3.0,71.88749999999997,0.53,0.5293749999999999,0.53,16.0
128249,1.0,1000.0,0.0,0.0,7.323743271089794,0.0,3.0,75.5125,0.0,0.0,0.0,16.0
128256,1.0,1000.0,3.73525,3.74,9.273392795517465,3.73525,0.68,88.07499999999996,0.0,0.0,0.0,16.0
128257,1.0,1000.0,0.0,0.0,11.197564964610825,0.0,0.65,72.55000000000003,0.0,0.0,0.0,16.0
128262,1.0,1000.0,3.98925,3.99,8.716671902571532,2.5247500000000005,3.0,67.775,2.45,2.160625,2.45,16.0
128263,1.0,1000.0,0.0,0.0,7.569803389709599,0.0,3.0,75.275,0.0,0.0,0.0,16.0
128265,1.0,1000.0,0.0,0.0,8.009105026943331,0.0,2.28,73.55,0.0,0.0,0.0,16.0
128270,1.0,1000.0,3.53875,3.54,7.865671889351388,0.396375,2.2,65.66250000000001,1.74,0.987,1.74,16.0
128278,1.0,1000.0,15.908625,15.91,7.860375383527079,0.192375,2.3,71.92500000000003,0.21,0.131625,0.21,16.0
128279,1.0,1000.0,2.006125,2.01,8.80685228210056,2.006125,2.5,65.0,1.44,1.4367500000000002,1.44,16.0
128282,1.0,1000.0,0.0,0.0,8.250098492616827,0.0,2.64,64.3875,0.0,0.0,0.0,16.0
128283,1.0,1000.0,0.0,3.04,7.926815031721327,0.0,2.61,80.5,0.0,0.0,0.0,16.0
128284,1.0,1000.0,0.33325,2.96,7.764907410744295,0.0,2.91,75.0375,0.0,0.0,0.0,16.0
